ID,P.australis_P.seriata_150,P.cuspidata_233,P.delicatissima_168,P.fraudulenta_203,P.fryxelliana_207,P.galaxiae_140,P.inflatula_156,P.multiseries_144,P.pungens_142,P.subpacifica_196,Unknown_170,Unknown_177,Unknown_200,Unknown_210,Unknown_213,Unknown_219,Unknown_223/224,Sample,Date,Year,Week,FracPaus,FracPdel,FracPmstri,FracPmul,FracPpun,FracPsub,PercMappedReads,nHQreads
P1,0.176819243,0,0,0,0,0.238368647,0,0,0.326662303,0.08041057,0,0,0,0.126371616,0,0,0.051367621,NP042015,4/20/15,2015,1,0.311040276,0.001668255,8.94E-05,0.006196378,0.508698761,0.172306959,0.0501,37633
P2,0,0.081705825,0,0,0.296970022,0.122866826,0,0,0,0.068882221,0,0,0,0.143906109,0.088354274,0,0.197314723,NP042715,4/27/15,2015,2,0.07510971,0.005275582,6.34E-05,0.001235722,0.669729567,0.248586049,0.0452,70724
P3,0,0,0,0,0,0.104371853,0,0.677433186,0.107513986,0.03852997,0,0,0,0.072151005,0,0,0,NP050315,5/3/15,2015,3,0.046185772,0.007981412,7.09E-05,0.004717901,0.696546709,0.24449726,0.0361,63955
P4,0,0.082658183,0,0,0.050059779,0.328771415,0,0,0.120958026,0.072651295,0,0,0.05714108,0.08312812,0,0,0.204632102,NP051115,5/11/15,2015,4,0.045801359,0.00712563,2.19E-05,0.002609077,0.739245779,0.205196229,0.0591,52161
P5,0,0.062084037,0,0,0,0.678665765,0.035074661,0,0.039065837,0.074246238,0,0,0,0,0,0,0.110863462,NP051815,5/18/15,2015,5,0.109533469,0.012395763,0.000112689,0.005296371,0.597588461,0.275073248,0.0548,10488
P6,0,0.121792921,0,0,0.057543115,0.436659121,0,0,0.19076882,0.034301607,0,0,0,0.075874628,0,0,0.083059787,NP052615,5/26/15,2015,6,0.051490236,0.010277492,0,0.002055498,0.632887975,0.303288798,0.0464,22772
P7,0,0.076195308,0,0,0,0.73784963,0,0,0,0.057349974,0,0,0,0,0,0,0.128605089,NP060115,6/1/15,2015,7,0.07987415,0.012584999,0,0.001420887,0.554044453,0.35207551,0.0558,11437
P8,0,0,0,0,0.196442092,0.190011637,0,0,0.461976307,0,0,0,0,0.057129404,0.060734607,0,0.033705954,NP060915,6/9/15,2015,8,0.194380734,0.008082132,2.73E-05,0.002075142,0.461609873,0.333824814,0.0439,42050
P9,0,0.124524973,0,0,0.418458942,0.21021405,0,0,0,0,0,0,0,0.034397617,0.176329182,0,0.036075237,NP061515,6/15/15,2015,9,0.152597103,0.016606698,0.000369038,0.001937448,0.36322539,0.465264323,0.0674,12662
P10,0,0.071773784,0,0,0.39859577,0.122145603,0,0,0.212935915,0,0,0,0,0,0.194548928,0,0,NP062215,6/22/15,2015,10,0.028842168,0.011371039,0.000296121,0.001658277,0.442049156,0.51578324,0.0574,19160
P12,0,0.068686905,0,0,0.344526755,0.448927553,0,0,0,0,0,0,0,0,0.087541972,0,0.050316816,NP070615,7/6/15,2015,12,0.04823907,0.00596772,4.52E-05,0.00189882,0.552692256,0.391156924,0.0441,24913
P13,0,0.199208171,0,0,0,0.110613182,0,0,0.397469062,0,0,0,0,0,0,0,0.292709586,NP030117,3/1/17,2017,1,0.642316167,0.006260306,5.84E-05,0.000656675,0.233382462,0.117326017,0.05,76366
P14,0,0.350576972,0,0,0,0,0,0.167195359,0.40975131,0.038838245,0,0,0,0,0,0,0.033638114,NP030617,3/6/17,2017,2,0.115677321,0.01369863,0,0.02283105,0.585996956,0.261796043,0.0881,844
P15,0,0.686012846,0,0,0,0,0,0.086404183,0.184975845,0.042607125,0,0,0,0,0,0,0,NP031317,3/13/17,2017,3,0.044448268,0.099047947,0.00022941,0.003613214,0.653016747,0.199644414,0.0587,21531
P16,0,0.575509025,0,0,0,0.238648895,0,0,0.040304481,0.059511604,0,0,0,0,0,0,0.086025995,NP032017,3/20/17,2017,4,0,0,0,0,0,0,NA,0
P18,0.508033304,0.109213809,0,0,0,0.050486625,0,0.191669086,0.089258241,0.051338936,0,0,0,0,0,0,0,NP040317,4/3/17,2017,6,0.055673308,0.003073336,0.001201074,0.002437474,0.836689275,0.100925533,0.051,32463
P19,0.717225408,0,0,0,0,0,0,0,0.282774592,0,0,0,0,0,0,0,0,NP041017,4/10/17,2017,7,0.055846422,0.003490401,0,0.02617801,0.844677138,0.069808028,0.1066,693
P20,0.812552566,0.077537486,0,0,0,0,0,0,0,0.109909949,0,0,0,0,0,0,0,NP041717,4/17/17,2017,8,0.023000063,0.004775969,0,0.001822409,0.862125306,0.108276252,0.13,18449
P21,0.303340336,0.04837513,0,0,0,0,0.252111954,0,0.200105175,0.196067405,0,0,0,0,0,0,0,NP042417,4/24/17,2017,9,0.047453193,0.010251106,3.04E-05,0.001946798,0.739737487,0.200580997,0.0682,82178
P22,0.631884942,0,0,0,0,0,0,0,0.318586906,0.049528152,0,0,0,0,0,0,0,NP050117,5/1/17,2017,10,0.935834156,0.000987167,0,0.000987167,0.058242843,0.003948667,0.5265,1242
P23,0.516547995,0.279762647,0,0,0,0,0.056550488,0,0.09726848,0.04987039,0,0,0,0,0,0,0,NP050817,5/8/17,2017,11,0.770347958,0,0.000302572,0.003025719,0.187291982,0.03903177,0.1879,4195
P24,0.406000367,0.201163805,0,0,0,0,0.335093196,0,0.057742632,0,0,0,0,0,0,0,0,NP051517,5/15/17,2017,12,0.991596639,0,0,0,0.008403361,0,0.9061,2458
P25,0.347757507,0.270495776,0,0.082274337,0,0,0,0,0.130257603,0.050064411,0,0,0,0.05788093,0,0.061269435,0,NP052217,5/22/17,2017,13,0.07697603,0.003491088,0.000786724,0.001106331,0.502102028,0.4155378,0.063,45230
P26,0.172692518,0.500444643,0,0.045093803,0,0.039570148,0,0,0.031782024,0.17930868,0,0,0,0.031108184,0,0,0,NP053017,5/30/17,2017,14,0,0,0,0,0.5,0.5,0.1053,4
P27,0.092811149,0.437742033,0,0.178254192,0,0,0,0,0.159325963,0.094992708,0,0,0,0.036873955,0,0,0,NP060517,6/5/17,2017,15,0.035188631,0.004398579,0.00042294,0.006851633,0.586448993,0.366689223,0.0642,13285
P28,0.056638429,0.223824042,0,0.238018349,0,0.031992709,0,0,0.253063944,0.196462527,0,0,0,0,0,0,0,NP061217,6/12/17,2017,16,0.0309245,0.001552695,0.000388174,0.002070259,0.530568674,0.434495698,0.0801,17122
P29,0,0.424230302,0,0,0,0.036492482,0,0,0.42476283,0,0.050691508,0,0,0.063822878,0,0,0,NP061917,6/19/17,2017,17,0.03930017,0.00169735,0.000261131,0.004047526,0.429298864,0.52539496,0.096,8319
P31,0,0.330987212,0,0,0,0.041496401,0,0,0.083501644,0.155623535,0.165758251,0,0,0.098069171,0,0,0.124563786,NP061818,6/18/18,2018,8,0.029246397,0.002173399,0,0.002315143,0.552326955,0.413938105,0.0487,23730
P32,0,0.238280655,0.247387246,0.288988382,0,0,0,0,0,0,0,0,0.225343717,0,0,0,0,NP043018,4/30/18,2018,1,0.034982986,0.001074563,0.000119396,0.010268044,0.843054146,0.110500866,0.0783,19245
P33,0.032899007,0.136606151,0,0,0,0,0.037292096,0,0.498654491,0.224205452,0,0,0.070342803,0,0,0,0,NP050718,5/7/18,2018,2,0.041529215,0.002688779,0.000135569,0.006416919,0.793664422,0.155565096,0.0492,50561
P34,0,0.198498843,0,0,0,0.036212627,0.157655423,0.038573335,0.239990213,0.284666952,0,0.044402607,0,0,0,0,0,NP051418,5/14/18,2018,3,0.035810521,0.004998633,0.000175733,0.005857773,0.78703089,0.16612645,0.0352,58734
P35,0,0.616783593,0,0,0,0,0.059775357,0.049797078,0.158958952,0.057633786,0,0,0,0.057051234,0,0,0,NP052118,5/21/18,2018,4,0.444444444,0,0,0,0.444444444,0.111111111,0.1461,14
