ID,Sample,Date,Year,Week,Location Code,Time Collected,Temp (C),Chl Volume Filtered (mL),Chl1 (mg/m3),Chl2 (mg/m3),Avg Chloro (mg/m3),Phaeo1 (mg/m3),Phaeo2 (mg/m3),Avg. Phaeo (mg/m3),Nitrate + Nitrate (uM),Nitrate (uM),Phosphate (uM),Silicate (uM),Nitrite (uM),Ammonia (uM),DA Volume Filtered (mL),Domoic Acid (ng/mL),Volume Settled for counting (mL),Akashiwo sanguinea  (cells/L),Alexa0rium spp. (cells/L),Dinophysis spp.  (cells/L),Lingulodinium polyedrum (cells/L),Prorocentrum spp.  (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Other Diatoms (cells/L),Other Dinoflagellates (cells/L),STX Volume Filtered (mL),D00156,NB551671,nHQreads,nNotContams,Paus,Pdel,Pmstri,Pmul,Ppun,Psub,PaContam,PdContam,PpContam,PsContam,FracPaus,FracPdel,FracPmstri,FracPmul,FracPpun,FracPsub,PercMappedReads
P1,NP042015,4/20/15,2015,1,NP,8:45:00,15.2,100,5.99,6.03,6.01,NA ,NA ,NA ,0,0,0.25,3.66,0.13,0.31,200,0,25,0,0,2599,0,33784,5198,0,18191,72766,500,3154,34479,37633,33568,10441,56,3,208,17076,5784,1321,94,2328,322,0.311040276,0.001668255,8.93708E-05,0.006196378,0.508698761,0.172306959,0.05010
P10,NP062215,6/22/15,2015,10,NP,9:35:00,19.3,100,1.37,1.31,1.34,NA ,NA ,NA ,0.37,0.37,0.2,3.59,0,3.76,200,0,25,0,0,0,0,5198,155926,0,75364,5198,500,15,19145,19160,16885,487,192,5,28,7464,8709,279,130,1211,655,0.028842168,0.011371039,0.000296121,0.001658277,0.442049156,0.51578324,0.05740
P11,NP062915,6/29/15,2015,11,NP,8:50:00,17.2,100,1.71,1.78,1.74,NA ,NA ,NA ,0.24,0.24,0.26,3.49,0,2.46,200,0,25,0,0,0,0,5198,5198,0,54574,7796,500,6,0,6,3,2,0,0,1,0,0,3,0,0,0,0.666666667,0,0,0.333333333,0,0,0.07250
P12,NP070615,7/6/15,2015,12,NP,9:15:00,17.8,100,1.66,1.6,1.63,NA ,NA ,NA ,0,0,0.21,4.56,0.1,1.95,200,0,25,0,0,0,0,2599,12994,0,28586,2599,500,1227,23686,24913,22119,1067,132,1,42,12225,8652,479,157,1615,543,0.04823907,0.00596772,4.521E-05,0.00189882,0.552692256,0.391156924,0.04410
P13,NP030117,3/1/17,2017,1,NP,10:30:00,15.2,100,1.88,1.78,1.83,NA ,NA ,NA ,4.12,3.91,0.45,6.07,0.21,2.27,200,0,25,0,0,0,0,10395,12994,0,28586,0,500,265,76101,76366,68527,44016,429,4,45,15993,8040,2636,453,2480,2270,0.642316167,0.006260306,5.83712E-05,0.000656675,0.233382462,0.117326017,0.05000
P14,NP030617,3/6/17,2017,2,NP,9:50:00,14.8,100,3.45,3.49,3.47,NA ,NA ,NA ,0.24,0.23,0.31,3.98,0,2.47,200,0,25,0,0,0,0,10395,18191,41580,168920,5198,500,56,788,844,657,76,9,0,15,385,172,22,13,105,47,0.115677321,0.01369863,0,0.02283105,0.585996956,0.261796043,0.08810
P15,NP031317,3/13/17,2017,3,NP,10:00:00,15.8,100,1.25,1.34,1.3,NA ,NA ,NA ,0.25,0.21,0.28,0,0,3.17,200,0.14,25,0,2599,0,0,0,57173,57173,54574,2599,500,450,21081,21531,17436,775,1727,4,63,11386,3481,773,316,2058,948,0.044448268,0.099047947,0.00022941,0.003613214,0.653016747,0.199644414,0.05870
P16,NP032017,3/20/17,2017,4,NP,8:30:00,16,100,1.62,1.57,1.6,NA ,NA ,NA ,0.5,0.41,0.43,3.11,0,1.04,200,0,25,0,0,0,0,5198,0,7796,20790,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
P17,NP032717,3/27/17,2017,5,NP,10:40:00,15.9,100,3.77,3.93,3.85,NA ,NA ,NA ,0.57,0.54,0.31,3.95,0,3.14,200,0,25,0,0,0,0,20790,0,2599,36383,20790,500,6,1861,1867,1678,1014,13,0,1,411,239,59,3,69,58,0.604290822,0.007747318,0,0.000595948,0.244934446,0.142431466,0.06830
P18,NP040317,4/3/17,2017,6,NP,9:05:00,15.8,100,3.23,3.15,3.19,NA ,NA ,NA ,0.43,0.39,0.11,5.6,0,1.1,200,0.3,25,0,2599,0,0,28586,33784,88358,103951,5198,500,336,32127,32463,28308,1576,87,34,69,23685,2857,545,173,3159,278,0.055673308,0.003073336,0.001201074,0.002437474,0.836689275,0.100925533,0.05100
P19,NP041017,4/10/17,2017,7,NP,8:15:00,15.8,100,9.85,9.87,9.86,NA ,NA ,NA ,0,0,0.74,3.77,0,0.85,200,0.25,25,0,18191,20790,0,392414,0,44179,41580,111747,500,14,679,693,573,32,2,0,15,484,40,18,6,84,12,0.055846422,0.003490401,0,0.02617801,0.844677138,0.069808028,0.10660
P2,NP042715,4/27/15,2015,2,NP,8:20:00,15.8,100,2.64,2.99,2.82,NA ,NA ,NA ,0.2,0.2,0.23,2.35,0,1.98,200,0,25,0,0,0,0,10395,5198,0,85759,10395,500,288,70436,70724,63121,4741,333,4,78,42274,15691,969,401,5075,1158,0.07510971,0.005275582,6.33704E-05,0.001235722,0.669729567,0.248586049,0.04520
