sample,coverage,Ntags
P10/P10.ppun.cov.hist,50x,7
P11/P11.ppun.cov.hist,50x,0
P12/P12.ppun.cov.hist,50x,24
P13/P13.ppun.cov.hist,50x,34
P14/P14.ppun.cov.hist,50x,0
P15/P15.ppun.cov.hist,50x,24
P16/P16.ppun.cov.hist,50x,0
P17/P17.ppun.cov.hist,50x,0
P18/P18.ppun.cov.hist,50x,124
P19/P19.ppun.cov.hist,50x,0
P1/P1.ppun.cov.hist,50x,43
P20/P20.ppun.cov.hist,50x,46
P21/P21.ppun.cov.hist,50x,343
P22/P22.ppun.cov.hist,50x,0
P23/P23.ppun.cov.hist,50x,0
P24/P24.ppun.cov.hist,50x,0
P25/P25.ppun.cov.hist,50x,82
P26/P26.ppun.cov.hist,50x,0
P27/P27.ppun.cov.hist,50x,13
P28/P28.ppun.cov.hist,50x,18
P29/P29.ppun.cov.hist,50x,2
P2/P2.ppun.cov.hist,50x,336
P31/P31.ppun.cov.hist,50x,21
P32/P32.ppun.cov.hist,50x,37
P33/P33.ppun.cov.hist,50x,239
P34/P34.ppun.cov.hist,50x,290
P35/P35.ppun.cov.hist,50x,0
P36/P36.ppun.cov.hist,50x,40
P37/P37.ppun.cov.hist,50x,6
P38/P38.ppun.cov.hist,50x,145
P39/P39.ppun.cov.hist,50x,0
P3/P3.ppun.cov.hist,50x,324
P40/P40.ppun.cov.hist,50x,0
P41/P41.ppun.cov.hist,50x,0
P42/P42.ppun.cov.hist,50x,2
P43/P43.ppun.cov.hist,50x,35
P44/P44.ppun.cov.hist,50x,0
P45/P45.ppun.cov.hist,50x,185
P46/P46.ppun.cov.hist,50x,57
P47/P47.ppun.cov.hist,50x,0
P48/P48.ppun.cov.hist,50x,0
P49/P49.ppun.cov.hist,50x,0
P4/P4.ppun.cov.hist,50x,196
P50/P50.ppun.cov.hist,50x,2
P51/P51.ppun.cov.hist,50x,8
P52/P52.ppun.cov.hist,50x,250
P53/P53.ppun.cov.hist,50x,31
P54/P54.ppun.cov.hist,50x,0
P55/P55.ppun.cov.hist,50x,96
P56/P56.ppun.cov.hist,50x,0
P57/P57.ppun.cov.hist,50x,0
P5/P5.ppun.cov.hist,50x,4
P6/P6.ppun.cov.hist,50x,18
P7/P7.ppun.cov.hist,50x,1
P8/P8.ppun.cov.hist,50x,46
P9/P9.ppun.cov.hist,50x,2
P10/P10.ppun.cov.hist,60x,3
P11/P11.ppun.cov.hist,60x,0
P12/P12.ppun.cov.hist,60x,13
P13/P13.ppun.cov.hist,60x,17
P14/P14.ppun.cov.hist,60x,0
P15/P15.ppun.cov.hist,60x,10
P16/P16.ppun.cov.hist,60x,0
P17/P17.ppun.cov.hist,60x,0
P18/P18.ppun.cov.hist,60x,78
P19/P19.ppun.cov.hist,60x,0
P1/P1.ppun.cov.hist,60x,25
P20/P20.ppun.cov.hist,60x,23
P21/P21.ppun.cov.hist,60x,249
P22/P22.ppun.cov.hist,60x,0
P23/P23.ppun.cov.hist,60x,0
P24/P24.ppun.cov.hist,60x,0
P25/P25.ppun.cov.hist,60x,53
P26/P26.ppun.cov.hist,60x,0
P27/P27.ppun.cov.hist,60x,7
P28/P28.ppun.cov.hist,60x,12
P29/P29.ppun.cov.hist,60x,1
P2/P2.ppun.cov.hist,60x,236
P31/P31.ppun.cov.hist,60x,10
P32/P32.ppun.cov.hist,60x,14
P33/P33.ppun.cov.hist,60x,159
P34/P34.ppun.cov.hist,60x,187
P35/P35.ppun.cov.hist,60x,0
P36/P36.ppun.cov.hist,60x,22
P37/P37.ppun.cov.hist,60x,4
P38/P38.ppun.cov.hist,60x,102
P39/P39.ppun.cov.hist,60x,0
P3/P3.ppun.cov.hist,60x,237
P40/P40.ppun.cov.hist,60x,0
P41/P41.ppun.cov.hist,60x,0
P42/P42.ppun.cov.hist,60x,2
P43/P43.ppun.cov.hist,60x,18
P44/P44.ppun.cov.hist,60x,0
P45/P45.ppun.cov.hist,60x,118
